actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_entropy,critic_entropy_max,critic_entropy_min,critic_loss,critic_norm_entropy,critic_norm_entropy_max,critic_norm_entropy_min,duration,episode,episode_reward,labeled_feedback,step,total_feedback,true_episode_reward
-81.61165199370251,-129858.02872745384,-6.0,-9.841608852988017,0.12002349746087126,-0.09566311256678493,6.842206994095841,23.113598939057464,0.6260887801689186,414524414.10535485,1.6581370297136966,5.536732984615399,0.1641262120234808,52.84930920600891,2.0,-120.30563,0.0,2000,0.0,29.630577642906797
-128.92513735198975,-1249622.58871875,-6.0,-22.80977100276947,0.18346657891136012,-0.07300740475952626,4.55830237531662,22.988356288909912,1.0644968628792384e-08,11891999483.904,0.9479768753051758,4.7760591192245485,2.227108550773016e-09,52.568880558013916,3.0,-27.066494,0.0,3000,0.0,13.22007572661096
-143.54130432128906,-1508881.7544375,-6.0,-37.68803095817566,0.2766906925435435,-0.06544148922339081,3.893208201169968,26.13202229785919,3.3386129416612675e-09,10589931453.696,0.7901047681868076,5.301589122533798,6.773601203824419e-10,53.4237220287323,4.0,-46.655697,0.0,4000,0.0,22.983771263894123
